ID	ActiveDriverWGS	MutSig2CV_NC	NBR	oncodrivefml	Brown_observed	Fisher_observed	Brown_Scale_C_observed	Brown_DF_observed
mirna_mat::mirbase_mature::hsa-miR-1225-5p::MIMAT0005572	0.0168786511210767	1	0.115192605154169	0.79935	0.155443889899092	0.114153910964457	1.68599821775362	4.74496349744602
mirna_mat::mirbase_mature::hsa-miR-1226-3p::MIMAT0005577	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1226-5p::MIMAT0005576	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1227-3p::MIMAT0005580	1	0.9937566540588	1	NA	0.999887000699513	0.999999959248922	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1227-5p::MIMAT0022941	1	0.9937566540588	1	NA	0.999887000699513	0.999999959248922	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1228-3p::MIMAT0005583	1	NA	1	NA	1	1	1.7188699154899	2.32711036708089
mirna_mat::mirbase_mature::hsa-miR-1228-5p::MIMAT0005582	1	NA	1	NA	1	1	1.7188699154899	2.32711036708089
mirna_mat::mirbase_mature::hsa-miR-1229-3p::MIMAT0005584	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1229-5p::MIMAT0022942	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1231::MIMAT0005586	1	0.998500419453902	1	NA	0.999987243719266	0.999999999437339	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1233-3p::MIMAT0005588	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1233-3p::MIMAT0005588_1	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1233-5p::MIMAT0022943	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1233-5p::MIMAT0022943_1	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1234-3p::MIMAT0005589	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1236-3p::MIMAT0005591	1	0.998624726163608	1	NA	0.999988824094823	0.999999999566025	1.96357211035013	3.05565554143572
